TIPO DE MORTE;ANO;MÊS;DIA;HORA;BAIRRO DA OCORRENCIA;LOGRADOURO DA OCORRENCIA;GENERO;ETNIA;IDADE;PROFISSAO;ESCOLARIDADE;INSTRUMENTO UTILIZADO;ZONA
HOMICIDIO;2013;4;quinta-feira;08:00-12:00;CIDADE DA ESPERANÇA;TVCATETINHO , GALPAO GESSO E SERVICOS;MASCULINO;NEGRA;26;GESSEIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2017;3;quinta-feira;12:00-16:00;CIDADE DA ESPERANÇA;RUA ACACIO DO NASCIMENTO EM FRENTE AO Nº 07 (COMUNIDADE DO DETRAN) RESIDENCIAL BOA ESPERANCA;MASCULINO;PARDA;23;SERVENTE DE PEDREIRO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2017;2;quinta-feira;16:00-20:00;CIDADE DA ESPERANÇA;"RUA NATAL - ENCONTRADO NO ""PÉ"" DO MORRO (PROX AO DEPOSITO FONTOURA E A ADOTE)";MASCULINO;PARDA;26;ARMADOR PREMOLDADO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2017;8;quinta-feira;16:00-20:00;CIDADE DA ESPERANÇA;TV PARAIBA, EM FRENTE A UPA DE CIDADE DA ESPERANCA;MASCULINO;PARDA;48;COMERCIANTE;NI;ARMA DE FOGO;Oeste
LESAO CORPORAL SEGUIDA DE MORTE;2013;4;quinta-feira;12:00-16:00;CIDADE NOVA;AV CENTRAL;MASCULINO;PARDA;23;GESSEIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2013;3;quinta-feira;16:00-20:00;CIDADE NOVA;AV CENTRAL ;MASCULINO;BRANCA;33;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2017;9;quinta-feira;08:00-12:00;NOSSA SRA DA APRESENTAÇÃO;RUA SEBASTIAO ROSA;MASCULINO;PARDA;20;DESEMPREGADO;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2016;8;quinta-feira;08:00-12:00;CIDADE NOVA;AV SOLANGE NUNES ;MASCULINO;PARDA;24;SEM PROFISSAO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2016;7;quinta-feira;00:00-04:00;BOM PASTOR;TV. NOSSA SENHORA DA GLORIA ,114;MASCULINO;PARDA;39;AUTONOMO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2013;4;quinta-feira;NI;CIDADE NOVA;ENTRE A AV CENTRAL E PADRE CICERO - BAR DO GERALDO;MASCULINO;PARDA;20;NI;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2012;8;quinta-feira;NI;CIDADE NOVA;ESTRADA CARROCAVEL ENTRE CANDELARIA A CIDADE NOVA;MASCULINO;BRANCA;47;GARI;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
LESAO CORPORAL SEGUIDA DE MORTE;2016;2;quinta-feira;04:00-08:00;CIDADE NOVA;FAVELA DO DETRAN;MASCULINO;PARDA;19;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2013;5;quinta-feira;00:00-04:00;GUARAPES;R SANTA QUITERIA, EM FRENTE AO Nº 352;MASCULINO;NEGRA;32;ENCANADOR;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2016;9;quinta-feira;00:00-04:00;PAJUÇARA;RUA MARQUES DE ABRANTES - BAR DO JUNIOR;MASCULINO;PARDA;37;ESTOQUISTA;ENSINO MEDIO COMPLETO;ESPANCAMENTO;Norte
HOMICIDIO;2016;10;quinta-feira;00:00-04:00;CIDADE ALTA;RIO POTENGI - PASSO DA PATRIA;MASCULINO;PARDA;50;AUTONOMO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO /ARMA BRANCA;Leste
HOMICIDIO;2014;2;quinta-feira;16:00-20:00;AREIA PRETA;R VEREADOR JOAO SAORES DE ARAUJO;MASCULINO;BRANCA;19;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Leste
