TIPO DE MORTE;ANO;MÊS;DIA;HORA;BAIRRO DA OCORRENCIA;LOGRADOURO DA OCORRENCIA;GENERO;ETNIA;IDADE;PROFISSAO;ESCOLARIDADE;INSTRUMENTO UTILIZADO;ZONA
HOMICIDIO;2017;4;sábado;00:00-04:00;PONTA NEGRA;RUA JOAO ALBERTO;MASCULINO;PARDA;34;ACESSOR FINANCEIRO;NI;ARMA DE FOGO;Sul
LESAO CORPORAL SEGUIDA DE MORTE;2015;3;sábado;16:00-20:00;REDINHA;R DOS LIRIOS;MASCULINO;NEGRA;35;ASG;ENSINO FUNDAMENTAL COMPLETO;ARMA BRANCA;Norte
HOMICIDIO;2017;6;sábado;20:00-24:00;REDINHA;RUA BEIRA MAR, LEITO DO RIO DOCE;MASCULINO;PARDA;29;BORRACHEIRO;NI;ARMA DE FOGO;Norte
HOMICIDIO;2017;6;sábado;08:00-12:00;REDINHA;RUA DAS AZALEIAS;MASCULINO;PARDA;30;ENTREGADOR;NI;ARMA DE FOGO;Norte
HOMICIDIO;2017;2;sábado;04:00-08:00;REDINHA;RUA FRANCISCO IVO, EM FRENTE AO MERCADO DA REDINHA;MASCULINO;PARDA;30;PESCADOR;NI;ARMA DE FOGO;Norte
LESAO CORPORAL SEGUIDA DE MORTE;2013;1;sábado;20:00-24:00;REDINHA;AV DR JOAO MEDEIROS FILHO;MASCULINO;NEGRA;23;DESEMPREGADO;NI;ARMA DE FOGO;Norte
HOMICIDIO;2013;11;sábado;NI;REDINHA;CRUZAMENTO DAS R SEVERINO BEZERRA COM TORRE DO MAR;MASCULINO;NEGRA;40;POLICIAL MILITAR;ENSINO SUPERIOR;ARMA DE FOGO;Norte
LESAO CORPORAL SEGUIDA DE MORTE;2013;8;sábado;NI;LAGOA AZUL;ENTRE R CENTRAL DA LAGOA E SAO RAFAEL;MASCULINO;PARDA;31;BARMEN;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2016;5;sábado;08:00-12:00;REDINHA;NO INTERIOR DA AMBULANCIA DA SAMU NA AV: LITORANEA - REDINHA - NATAL RN;MASCULINO;NEGRA;21;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Norte
LESAO CORPORAL SEGUIDA DE MORTE;2013;7;sábado;12:00-16:00;LAGOA AZUL;VIA PUBLICA;MASCULINO;BRANCA;35;CHAVEIRO;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2013;7;sábado;12:00-16:00;REDINHA;R CONSTRUTOR SEVERINO BEZERRA;MASCULINO;PARDA;39;DESEMPREGADO;NI;ARMA DE FOGO;Norte
LESAO CORPORAL SEGUIDA DE MORTE;2013;9;sábado;20:00-24:00;REDINHA;R RIO DA PRATA Nº 36 , CONJUNTO NITEROI;MASCULINO;PARDA;32;VENDEDOR AUTONOMO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2015;3;sábado;NI;REDINHA;R: CRISTAIS DE GELO;MASCULINO;NEGRA;27;VENDEDOR AUTONOMO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Norte
LESAO CORPORAL SEGUIDA DE MORTE;2012;2;sábado;NI;REDINHA;R: PADRE CICERO ROMAO ;MASCULINO;NEGRA;31;NI;NI;ARMA DE FOGO;Norte
HOMICIDIO;2016;7;sábado;00:00-04:00;REDINHA;RUA BEAPENDI;MASCULINO;PARDA;36;NI;NI;ARMA DE FOGO;Norte
HOMICIDIO;2016;7;sábado;20:00-24:00;REDINHA;RUA PROVADOR MARIANO COELHO , S/N;MASCULINO;PARDA;28;NI;NI;ARMA DE FOGO;Norte
HOMICIDIO;2013;5;sábado;NI;BOM PASTOR;R NAPOLEAO LAUREANO - EM FRENTE AO COMERCIO DA VITIMA;MASCULINO;NEGRA;36;COMERCIANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Oeste
LESAO CORPORAL SEGUIDA DE MORTE;2015;7;sábado;12:00-16:00;REDINHA;PONTE NEWTON NAVARRO;MASCULINO;PARDA;45;DESEMPREGADO;NI;ESPANCAMENTO;Norte
HOMICIDIO;2017;3;sábado;20:00-24:00;SANTOS REIS;TV DA ESTRELA, Nº 102 EM FRENTE A RESIDENCIA DA VITIMA, PROXIMO A VILA DO EXERCITO APOS O VIADUTO EM DIRECAO AO CANTO DO MANGUE (VIETNÃ) PROX A TENAL;MASCULINO;PARDA;26;NI;NI;ARMA DE FOGO;Leste
HOMICIDIO;2016;6;sábado;16:00-20:00;SANTOS REIS;COMUNIDADE DO VIETNA;FEMININO;PARDA;47;DO LAR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Leste
HOMICIDIO;2013;6;sábado;20:00-24:00;DIX-SEPT ROSADO;AV AMINTAS BARROS;MASCULINO;BRANCA;28;COMERCIANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2015;5;sábado;20:00-24:00;SANTOS REIS;TV VIETNAM;MASCULINO;PARDA;18;NI;NI;ARMA DE FOGO;Leste
HOMICIDIO;2017;4;sábado;20:00-24:00;SANTOS REIS;RUA BOA VISTA, EM FRENTE AO Nº 91, PROXIMO AO TERMINAL DE ONIBUS DE BRASILIA TEIMOSA;MASCULINO;PARDA;27;ESTUDANTE;NI;ARMA DE FOGO;Leste
HOMICIDIO;2017;8;sábado;04:00-08:00;SANTOS REIS;CORPO LOCALIZADO NA AREA DE MANGUE AO LADO DA PASSARELA DE ACESSO AO FORTE REIS MAGOS;MASCULINO;PARDA;28;ESTUDANTE;NI;ENFORCAMENTO;Leste
HOMICIDIO;2015;11;sábado;12:00-16:00;SANTOS REIS;NA ORLA DA PRAIA SITO A R CEL FLAMINGO, AO LADO DO VIADUTO PRAIA DO FORTE ;MASCULINO;NEGRA;23;DESEMPREGADO;NI;ESPANCAMENTO;Leste
HOMICIDIO;2012;9;sábado;NI;ALECRIM;AV PRES SARMENTO;MASCULINO;NEGRA;40;SEM PROFISSAO;NI;ARMA BRANCA;Leste
LESAO CORPORAL SEGUIDA DE MORTE;2012;10;sábado;NI;ALECRIM;R DR MARIO NEGOCIO;MASCULINO;NEGRA;43;AMBULANTE;ENSINO FUNDAMENTAL COMPLETO;ARMA BRANCA;Leste
LESAO CORPORAL SEGUIDA DE MORTE;2013;6;sábado;00:00-04:00;CIDADE NOVA;R CORTEZ PEREIRA Nº 733;MASCULINO;BRANCA;75;APOSENTADO;NI;ESPANCAMENTO;Oeste
HOMICIDIO;2015;9;sábado;16:00-20:00;ALECRIM;AV PRES SARMENTO;MASCULINO;PARDA;33;EX DETENTO DESOCUPADO;NI;ARMA DE FOGO;Leste
HOMICIDIO;2012;8;sábado;NI;ALECRIM;AV SILVA PELICO - ESCOLA CALANZANS PINHEIRO;MASCULINO;NEGRA;54;POLICIAL MILITAR;ENSINO SUPERIOR;ARMA DE FOGO;Leste
HOMICIDIO;2012;11;sábado;NI;FELIPE CAMARÃO;R PROF. ANTONIO TRIGUEIRO;MASCULINO;BRANCA;34;APOSENTADO;NI;OBJETO CONTUNDENTE;Oeste
HOMICIDIO;2014;5;sábado;20:00-24:00;ALECRIM;R CAPITAO SILVEIRA BARRETO;MASCULINO;NEGRA;20;DESEMPREGADO;NI;ARMA DE FOGO;Leste
HOMICIDIO;2012;4;sábado;20:00-24:00;ALECRIM;R OCIDENTAL DE BAIXO, PACO DA PATRIA;MASCULINO;NEGRA;28;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Leste
HOMICIDIO;2015;10;sábado;12:00-16:00;ALECRIM;R SEVERINO ALVES BILA;MASCULINO;NEGRA;21;DESEMPREGADO;NI;ARMA DE FOGO;Leste
HOMICIDIO;2017;2;sábado;16:00-20:00;ALECRIM;RUA PRESIDENTE SARMENTO, ESQUINA COM A RUA CICERO MENDONÇA;MASCULINO;PARDA;39;DESEMPREGADO;NI;ARMA DE FOGO;Leste
LESAO CORPORAL SEGUIDA DE MORTE;2013;5;sábado;16:00-20:00;BOM PASTOR;R NOVA JERUSALEM;MASCULINO;NEGRA;37;PINTOR;ENSINO FUNDAMENTAL COMPLETO;ARMA BRANCA;Oeste
HOMICIDIO;2012;4;sábado;NI;LAGOA NOVA;AV: ANTONIO BASILIO;MASCULINO;PARDA;38;COMERCIANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Sul
LESAO CORPORAL SEGUIDA DE MORTE;2016;2;sábado;08:00-12:00;BOM PASTOR;6ª TV JERUSALEM;MASCULINO;PARDA;24;SEM PROFISSAO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2012;9;sábado;NI;NOSSA SRA DA APRESENTAÇÃO;AV SANTA LUZIA;MASCULINO;BRANCA;32;COMERCIANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2015;3;sábado;00:00-04:00;BOM PASTOR;AV BOM PASTOR;MASCULINO;PARDA;22;VENDEDOR AUTONOMO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2013;9;sábado;12:00-16:00;BOM PASTOR;AV BOM PASTOR;FEMININO;BRANCA;34;VENDEDOR AUTONOMO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2012;7;sábado;00:00-04:00;BOM PASTOR;AV BOM PASTOR;FEMININO;NEGRA;17;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2015;4;sábado;20:00-24:00;BOM PASTOR;AV SAMPAIO CORREIA;MASCULINO;BRANCA;22;DESEMPREGADO;NI;ARMA DE FOGO;Oeste
LESAO CORPORAL SEGUIDA DE MORTE;2012;4;sábado;16:00-20:00;BOM PASTOR;BARREIROS S/N;MASCULINO;NEGRA;37;AUXILIAR DE VIDRACEIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2012;10;sábado;NI;BOM PASTOR;R ARISTOFENES FERNANDES;MASCULINO;NEGRA;21;DESEMPREGADO;NI;ARMA DE FOGO;Oeste
LESAO CORPORAL SEGUIDA DE MORTE;2012;6;sábado;00:00-04:00;BOM PASTOR;R HENRIQUE DIAS S/N;MASCULINO;NEGRA;35;DESEMPREGADO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2014;3;sábado;NI;BOM PASTOR;R JOSE FLOR TAVARES EM FRENTE Nº 21;MASCULINO;PARDA;21;AUXILIAR DE MECANICO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2013;10;sábado;20:00-24:00;BOM PASTOR;R MANOEL MAXIMO ;MASCULINO;PARDA;27;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
LATROCINIO;2016;3;sábado;16:00-20:00;NOVA DESCOBERTA;R VERDES MARES;MASCULINO;BRANCA;51;COMERCIANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Sul
HOMICIDIO;2014;2;sábado;16:00-20:00;BOM PASTOR;R MANOEL MAXIMO Nº 1575 - VILA SAO FRANCISCO;MASCULINO;BRANCA;26;NI;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2012;11;sábado;NI;BOM PASTOR;R POETA CAMOES , EM FRENTE A CHESF;FEMININO;NEGRA;38;DESEMPREGADO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2012;10;sábado;NI;BOM PASTOR;R SANTA TEREZA Nº 60B;MASCULINO;NEGRA;22;NI;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2014;7;sábado;16:00-20:00;PETRÓPOLIS;NO INTERIOR DE UM VEICULO NA AV DEODORO DA FOSECA (EM FRENTE DA CATEDRAL LESTE);FEMININO;PARDA;36;COMERCIANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Leste
HOMICIDIO;2015;12;sábado;00:00-04:00;BOM PASTOR;TV MENESIO PALMEIRAS DE LEMOS;MASCULINO;NEGRA;17;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2013;5;sábado;08:00-12:00;PLANALTO;R QUIRAMBU;MASCULINO;NEGRA;24;APOSENTADO;NI;ARMA BRANCA;Oeste
HOMICIDIO;2017;11;sábado;04:00-08:00;BOM PASTOR;AV BOM PASTOR, TERRENO BALDIO POR TRAS DE VALDECI MODAS, TERRENO DO JOTA MOTA;FEMININO;PARDA;19;ESTUDANTE;NI;ARMA BRANCA;Oeste
HOMICIDIO;2017;11;sábado;04:00-08:00;BOM PASTOR;AV BOM PASTOR, TERRENO BALDIO POR TRAS DE VALDECI MODAS, TERRENO DO JOTA MOTA;FEMININO;PARDA;27;GARCONETE;NI;ARMA BRANCA;Oeste
LESAO CORPORAL SEGUIDA DE MORTE;2017;7;sábado;16:00-20:00;BOM PASTOR;RUA ARISTOFANES FERNANDES, VILA SAO LUIS, Nº 141;MASCULINO;PARDA;38;LAVADOR DE CARRO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2017;2;sábado;16:00-20:00;BOM PASTOR;AV ESTEVAM MACHADO, EM FRENTE AO NUMERAL 481;MASCULINO;PARDA;18;DESEMPREGADO;NI;ARMA DE FOGO;Oeste
LATROCINIO;2017;12;sábado;12:00-16:00;BOM PASTOR;AV INDUSTRIAL JOAO FRANCISCO DA MOTA -CURTUME SAO FRANCISCO PROXIMO A DVN VIDROS;MASCULINO;PARDA;59;VIGILANTE;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2016;3;sábado;20:00-24:00;CIDADE ALTA;R ESCOTEIRO ANDANTE;MASCULINO;PARDA;28;MORADOR DE RUA;NI;ARMA BRANCA;Leste
HOMICIDIO;2013;5;sábado;20:00-24:00;CIDADE ALTA;R QUINTINO BOCAIUVA COM A R 4 MARCOS;MASCULINO;BRANCA;21;SOLDADOR;ENSINO FUNDAMENTAL COMPLETO;ARMA BRANCA;Leste
HOMICIDIO;2012;9;sábado;NI;CIDADE ALTA;R BEIRA CANAL COM A TV SANTO AFONSO;MASCULINO;BRANCA;31;SEM PROFISSAO;NI;ARMA DE FOGO;Leste
HOMICIDIO;2015;11;sábado;04:00-08:00;CIDADE ALTA;R GOV. RAFAEL FERNANDES, VIZINHO A CASA DE Nº136, PROX. SINAL DO PACO DA PATRIA, HORTO FLORESTA;MASCULINO;NEGRA;20;DESEMPREGADO;NI;ARMA DE FOGO;Leste
HOMICIDIO;2013;11;sábado;08:00-12:00;QUINTAS;AV BERNANDO VIEIRA;MASCULINO;PARDA;51;COMERCIANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2013;11;sábado;12:00-16:00;CIDADE ALTA;R PADRE JOAO MANOEL;MASCULINO;PARDA;19;NI;NI;ARMA DE FOGO;Leste
HOMICIDIO;2016;7;sábado;08:00-12:00;CIDADE ALTA;RUA TRAMPOLIM , 172;MASCULINO;NI;23;SEM PROFISSAO;NI;ARMA DE FOGO;Leste
HOMICIDIO;2012;8;sábado;NI;QUINTAS;R RIO POTENGI;FEMININO;PARDA;28;COMERCIANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2012;5;sábado;NI;CIDADE ALTA;VIA PUBLICA;MASCULINO;BRANCA;17;ESTUDANTE B;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Leste
HOMICIDIO;2013;4;sábado;08:00-12:00;CIDADE ALTA;AV PRINCESA ISABEL;MASCULINO;BRANCA;33;NI;NI;CARBONIZACAO;Leste
HOMICIDIO;2013;6;sábado;20:00-24:00;CIDADE DA ESPERANÇA;AV CAP MOR GOUVEIA;MASCULINO;NEGRA;44;PINTOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2015;2;sábado;04:00-08:00;CIDADE DA ESPERANÇA;AV SAMPAIO CORREIA;MASCULINO;NEGRA;28;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
LESAO CORPORAL SEGUIDA DE MORTE;2013;1;sábado;NI;CIDADE DA ESPERANÇA;FAVELA DO DETRAN;MASCULINO;NEGRA;15;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2015;5;sábado;04:00-08:00;CIDADE DA ESPERANÇA;R PINHEIRO, II;MASCULINO;PARDA;20;VENDEDOR AUTONOMO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2016;7;sábado;08:00-12:00;MÃE LUÍZA;RUA NOVA ;MASCULINO;NI;28;AUTONOMO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Leste
HOMICIDIO;2015;11;sábado;20:00-24:00;CIDADE DA ESPERANÇA;TV SAMAPIO CORREIA;MASCULINO;PARDA;15;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2017;7;sábado;08:00-12:00;CIDADE DA ESPERANÇA;AV PARAIBA, EM UMA LOJA DE REDES DENOMINADA CASA DAS REDES;MASCULINO;PARDA;23;VENDEDOR AMBULANTE;NI;ARMA DE FOGO;Oeste
LESAO CORPORAL SEGUIDA DE MORTE;2017;2;sábado;12:00-16:00;CIDADE DA ESPERANÇA;AV PERIMETRAL SUL, Nº 437 - PROX AO TERMINAL DE ONIBUS CIDADE DA ESPERANÇA E A UNIMETAIS;MASCULINO;PARDA;22;DESEMPREGADO;NI;ARMA DE FOGO;Oeste
LESAO CORPORAL SEGUIDA DE MORTE;2017;12;sábado;20:00-24:00;CIDADE DA ESPERANÇA;AV PERIMENTAL SUL - NA FAVELA DO DETRAN;MASCULINO;PARDA;30;DESEMPREGADO;NI;ARMA DE FOGO;Oeste
LESAO CORPORAL SEGUIDA DE MORTE;2012;7;sábado;NI;PONTA NEGRA;R MORRO BRANCO;MASCULINO;PARDA;18;AUTONOMO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Sul
HOMICIDIO;2014;4;sábado;20:00-24:00;CIDADE NOVA;TV SANTO ANTONIO;MASCULINO;PARDA;24;SOLDADOR;ENSINO FUNDAMENTAL COMPLETO;ARMA BRANCA;Oeste
HOMICIDIO;2013;8;sábado;20:00-24:00;CIDADE NOVA;AV DA DEVISAO ;FEMININO;BRANCA;43;EMPREGADO DOMESTICO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
LESAO CORPORAL SEGUIDA DE MORTE;2012;5;sábado;20:00-24:00;CIDADE NOVA;IGNORADO ;MASCULINO;BRANCA;17;ESTUDANTE B;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2014;8;sábado;20:00-24:00;NOSSA SRA DA APRESENTAÇÃO;3ª TV AGUA, S/N AO LADO DA CASA DE Nº 40, PARQUE DOS COQUEIROS;MASCULINO;PARDA;25;ELETRICISTA;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2012;12;sábado;NI;CIDADE NOVA;R CABUGI Nº 439;MASCULINO;BRANCA;23;AUXILIAR ELETRICISTA;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2013;1;sábado;00:00-04:00;NOSSA SRA DA APRESENTAÇÃO;R VEREADOR ELISBANO DE MACEDO Nº 679 , VALE DOURADO;MASCULINO;BRANCA;25;EMBALADOR;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2013;2;sábado;12:00-16:00;PONTA NEGRA;R DA LAGOSTA CONDOMINIO PORTO NOVO, APTº 06 ,Nº 405;MASCULINO;BRANCA;60;EMPREITEIRO DE OBRAS;ENSINO MEDIO COMPLETO;ARMA BRANCA;Sul
HOMICIDIO;2012;8;sábado;NI;CIDADE NOVA;R FRANCISCO VARELA Nº 111;MASCULINO;BRANCA;19;SEM PROFISSAO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2012;9;sábado;NI;CIDADE NOVA;R IVO FURTADO, Nº 469;MASCULINO;BRANCA;17;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;Oeste
LESAO CORPORAL SEGUIDA DE MORTE;2013;3;sábado;16:00-20:00;MÃE LUÍZA;R GUANABARA ;MASCULINO;PARDA;15;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Leste
LESAO CORPORAL SEGUIDA DE MORTE;2012;6;sábado;04:00-08:00;CIDADE NOVA;R SAO BERNARDO ;MASCULINO;BRANCA;27;PINTOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
LATROCINIO;2015;11;sábado;12:00-16:00;CIDADE NOVA;R SAO SEBASTIAO, 438, PROX.ESTACAO LINHA DO TREM, CIDADE NOVA/FELIPE CAMARAO;MASCULINO;PARDA;42;POLICIAL MILITAR;ENSINO SUPERIOR;ARMA DE FOGO;Oeste
HOMICIDIO;2016;3;sábado;16:00-20:00;CIDADE NOVA;R SEN JOSE DE ARIMATEIA,126, CIDADE NOVA;MASCULINO;NEGRA;36;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2016;6;sábado;00:00-04:00;CIDADE NOVA;RUA MARQUES DE SANTANA;MASCULINO;NEGRA;19;NI;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2014;2;sábado;16:00-20:00;MÃE LUÍZA;R LARGO DO FAROL - FRONTEIRA;MASCULINO;PARDA;18;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Leste
LESAO CORPORAL SEGUIDA DE MORTE;2017;3;sábado;08:00-12:00;CIDADE NOVA;MORRO DE DUNAS EM CIDADE NOVA, PROXIMO A RUA SAO SEBASTIAO;FEMININO;PARDA;14;ESTUDANTE;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2016;9;sábado;12:00-16:00;CIDADE NOVA;RUA SANTO AMARO , S/N;MASCULINO;PARDA;36;NI;NI;ASFIXIA MECANICA PROVOCADA;Oeste
HOMICIDIO;2016;11;sábado;04:00-08:00;CIDADE NOVA;RUA SAO VICENTE Nº 99;MASCULINO;PARDA;38;DESEMPREGADO;NI;ASFIXIA MECANICA PROVOCADA;Oeste
HOMICIDIO;2013;11;sábado;00:00-04:00;CIDADE NOVA;ENCONTRADA NA ENTRADA DO PARQUE DA CIDADE;FEMININO;NEGRA;47;AUTONOMO;ENSINO FUNDAMENTAL COMPLETO;ESPANCAMENTO;Oeste
HOMICIDIO;2015;8;sábado;20:00-24:00;MÃE LUÍZA;TV GUANABARA;MASCULINO;PARDA;25;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Leste
HOMICIDIO;2016;8;sábado;20:00-24:00;FELIPE CAMARÃO;RUA PROJETADA;MASCULINO;PARDA;18;AUTONOMO;ENSINO FUNDAMENTAL COMPLETO;ARMA BRANCA;Oeste
LATROCINIO;2013;3;sábado;00:00-04:00;DIX-SEPT ROSADO;AV 09;MASCULINO;NEGRA;25;NI;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2012;7;sábado;04:00-08:00;DIX-SEPT ROSADO;AV ANTONIO BASILIO;MASCULINO;BRANCA;17;ESTUDANTE B;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2012;7;sábado;04:00-08:00;DIX-SEPT ROSADO;AV ANTONIO BASILIO;MASCULINO;BRANCA;32;DESEMPREGADO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2012;7;sábado;08:00-12:00;DIX-SEPT ROSADO;AV ANTONIO BASILIO;MASCULINO;BRANCA;25;SEM PROFISSAO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2016;7;sábado;00:00-04:00;REDINHA;RUA BEAPENDI;MASCULINO;PARDA;17;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2013;7;sábado;00:00-04:00;DIX-SEPT ROSADO;R DOS CAICOS Nº 1948;MASCULINO;PARDA;30;AUXILIAR DE CAPOTAGEM;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2014;11;sábado;08:00-12:00;DIX-SEPT ROSADO;TV DOS CAICOS;MASCULINO;NEGRA;21;NI;NI;ARMA DE FOGO;Oeste
LESAO CORPORAL SEGUIDA DE MORTE;2017;7;sábado;20:00-24:00;DIX-SEPT ROSADO;RUA PROFESSOR JOSEFA BOTELHO;MASCULINO;PARDA;22;AJ DE SOLDADOR;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2017;7;sábado;04:00-08:00;DIX-SEPT ROSADO;RUA DOS PAJEUS - EM FRENTE A CENTRAL DE RODAS;MASCULINO;PARDA;18;DESEMPREGADO;NI;ARMA DE FOGO;Oeste
LESAO CORPORAL SEGUIDA DE MORTE;2015;1;sábado;00:00-04:00;DIX-SEPT ROSADO;AV ANTONIO BASILIO;MASCULINO;PARDA;31;DESEMPREGADO;NI;OBJETO CONTUNDENTE;Oeste
HOMICIDIO;2013;8;sábado;20:00-24:00;FELIPE CAMARÃO;R JOSE VICENTE ;MASCULINO;PARDA;19;NI;NI;ARMA BRANCA;Oeste
LESAO CORPORAL SEGUIDA DE MORTE;2012;12;sábado;NI;FELIPE CAMARÃO;R SAO JOSE Nº 688 A;MASCULINO;BRANCA;27;ASG;ENSINO FUNDAMENTAL COMPLETO;ARMA BRANCA;Oeste
HOMICIDIO;2017;9;sábado;00:00-04:00;FELIPE CAMARÃO;RUA PADRE JOAO MARIA - EM FRENTE AO MERCADINHO J PEREIRA;FEMININO;BRANCA;27;MANICURE;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2013;2;sábado;16:00-20:00;FELIPE CAMARÃO;AV SANTA CRISTINA;FEMININO;PARDA;28;NI;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2016;8;sábado;16:00-20:00;FELIPE CAMARÃO;CRUZAMENTO DA SANTA FE COM RUA PAZ CELESTIAL;MASCULINO;PARDA;27;DESEMPREGADO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2016;12;sábado;20:00-24:00;FELIPE CAMARÃO;CRUZAMENTO RUA NSA SRA DO LIVRAMENTO COM RUA JOAO VICENTE;MASCULINO;PARDA;38;SOLDADOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2014;4;sábado;16:00-20:00;FELIPE CAMARÃO;EM FRENTE AO ANTIGO LEPROSARIO -CJ PRAIA MAR;MASCULINO;BRANCA;35;PINTOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2014;3;sábado;16:00-20:00;FELIPE CAMARÃO;FAVELA DO FIO;MASCULINO;BRANCA;32;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2013;5;sábado;16:00-20:00;FELIPE CAMARÃO;R CARPA;MASCULINO;PARDA;30;NI;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2016;5;sábado;16:00-20:00;CIDADE NOVA;TV SANTO AMARO, 907-A;MASCULINO;NEGRA;17;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Oeste
LESAO CORPORAL SEGUIDA DE MORTE;2013;7;sábado;16:00-20:00;FELIPE CAMARÃO;R ITAMAR MACIEL ;MASCULINO;PARDA;37;PEDREIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
LESAO CORPORAL SEGUIDA DE MORTE;2016;7;sábado;20:00-24:00;FELIPE CAMARÃO;NI;MASCULINO;PARDA;16;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Oeste
